mfyear,carLineClassCode,carLineClassDesc,mfrName,carline,fuelCost
2012,13,Standard Pick-up Trucks 4WD,General Motors,K15 SILVERADO 4WD HYBRID,2642
2012,13,Standard Pick-up Trucks 4WD,General Motors,K15 SIERRA 4WD HYBRID,2642
2012,15,Vans  Passenger Type,General Motors,H1500 EXPRESS AWD PASS,3963
2012,15,Vans  Passenger Type,Ford Motor Company,E150 WAGON FFV,3963
2012,4,Compact Cars,Honda,CIVIC,1042
2012,4,Compact Cars,Toyota,PRIUS c,1110
2012,21,Special Purpose Vehicle  minivan 4WD,Toyota,SIENNA AWD,2919
2012,22,Special Purpose Vehicle  SUV 2WD,Ford Motor Company,ESCAPE HYBRID FWD,1732
2012,22,Special Purpose Vehicle  SUV 2WD,Toyota,RX 450h,1973
2012,11,Small Pick-up Trucks 4WD,General Motors,COLORADO 4WD,2775
2012,11,Small Pick-up Trucks 4WD,General Motors,COLORADO 4WD,2775
2012,14,Vans  Cargo Types,General Motors,G1500 EXPRESS 2WD CARGO,3263
2012,14,Vans  Cargo Types,General Motors,G1500 SAVANA 2WD CARGO,3263
2012,23,Special Purpose Vehicle  SUV 4WD,Ford Motor Company,ESCAPE HYBRID AWD,1915
2012,23,Special Purpose Vehicle  SUV 4WD,Toyota,HIGHLANDER HYBRID 4WD,1981
2012,1,Two Seaters,Honda,CR-Z,1498
2012,1,Two Seaters,Honda,CR-Z,1632
2012,6,Large Cars,Hyundai,SONATA,1981
2012,6,Large Cars,Hyundai,SONATA,1981
2012,17,Special Purpose Vehicle 2WD,Ford Motor Company,TRANSIT CONNECT WAGON FWD,2314
2012,17,Special Purpose Vehicle 2WD,Ford Motor Company,Transit Connect Van,2414
2012,3,Subcompact Cars,Ford Motor Company,Fiesta FWD,1682
2012,3,Subcompact Cars,Ford Motor Company,Fiesta FWD,1682
2012,7,Small Station Wagons,Mercedes-Benz,F-Cell,1573
2012,7,Small Station Wagons,Volkswagen,JETTA SPORTWAGEN,1742
2012,12,Standard Pick-up Trucks 2WD,General Motors,C15 SILVERADO 2WD HYBRID,2642
2012,12,Standard Pick-up Trucks 2WD,General Motors,C15 SIERRA 2WD HYBRID,2642
2012,8,Midsize Station Wagons,Toyota,PRIUS v,1321
2012,8,Midsize Station Wagons,Kia,RONDO,2525
2012,20,Special Purpose Vehicle  minivan 2WD,MAZDA,MAZDA 5,2314
2012,20,Special Purpose Vehicle  minivan 2WD,MAZDA,MAZDA 5,2314
2012,10,Small Pick-up Trucks 2WD,Toyota,TACOMA 2WD,2525
2012,10,Small Pick-up Trucks 2WD,General Motors,COLORADO 2WD,2642
2012,5,Midsize Cars,Toyota,PRIUS,1110
2012,5,Midsize Cars,Toyota,CAMRY HYBRID LE,1354
2012,2,Minicompact Cars,Toyota,iQ,1498
2012,2,Minicompact Cars,Chrysler Group LLC,500,1795
